Array Size,Naive Algorithm (ms),Dual Path Algorithm (ms),Recursive Algorithm (ms),Dual Path Speedup,Recursive Speedup
262144,9.73,5.23,14.05,1.86,0.69
524288,24.39,17.08,28.21,1.43,0.86
1048576,35.43,21.87,54.83,1.62,0.65
2097152,82.87,53.99,118.28,1.53,0.70
