Matrix Size,Column Access,Row Access,Unroll5,Unroll10,Unroll15,Unroll20
1000,72.69,48.43,50.61,49.09,51.95,57.78
2000,375.02,201.25,204.30,190.87,209.84,228.11
4000,1382.99,943.10,882.15,844.04,911.82,961.87
