实现,规模,模数,线程数,平均时间(秒),标准差,最小时间,最大时间,结果验证
ntt_crt_arbitrary_pthread,1000,469762049,4,0.034062,0.002010,0.031896,0.036740,PASS
ntt_crt_arbitrary_pthread,1000,469762049,8,0.023932,0.003349,0.019695,0.027883,PASS
ntt_crt_arbitrary_openmp,1000,469762049,1,0.033690,0.004820,0.026880,0.037366,PASS
ntt_crt_arbitrary_openmp,1000,469762049,2,0.028680,0.009349,0.020994,0.041840,PASS
ntt_crt_arbitrary_openmp,1000,469762049,4,0.029266,0.002055,0.026360,0.030767,PASS
ntt_crt_arbitrary_openmp,1000,469762049,8,0.046015,0.004718,0.039409,0.050128,PASS
ntt_serial,1000,1337006139375617,1,0.022333,0.004757,0.016054,0.027562,PASS_REF_SELF_SKIP
ntt_pthread,1000,1337006139375617,1,0.032193,0.007982,0.022369,0.041921,PASS
ntt_pthread,1000,1337006139375617,2,0.034092,0.002332,0.030993,0.036617,PASS
ntt_pthread,1000,1337006139375617,4,0.031218,0.006407,0.026150,0.040256,PASS
ntt_pthread,1000,1337006139375617,8,0.058132,0.023356,0.029181,0.086379,PASS
ntt_pthread_optimized,1000,1337006139375617,1,0.037562,0.001359,0.036490,0.039480,PASS
ntt_pthread_optimized,1000,1337006139375617,2,0.019203,0.001580,0.016968,0.020340,PASS
ntt_pthread_optimized,1000,1337006139375617,4,0.039553,0.003195,0.035047,0.042088,PASS
ntt_pthread_optimized,1000,1337006139375617,8,0.039307,0.004909,0.032505,0.043907,PASS
ntt_openmp,1000,1337006139375617,1,0.019477,0.000884,0.018408,0.020573,PASS
ntt_openmp,1000,1337006139375617,2,0.016662,0.001319,0.015009,0.018238,PASS
ntt_openmp,1000,1337006139375617,4,0.018927,0.001849,0.016497,0.020978,PASS
ntt_openmp,1000,1337006139375617,8,0.021530,0.005507,0.016460,0.029185,PASS
ntt_crt_arbitrary_serial,1000,1337006139375617,1,0.024880,0.001773,0.022402,0.026454,PASS
ntt_crt_arbitrary_pthread,1000,1337006139375617,1,0.038305,0.003236,0.033762,0.041051,PASS
ntt_crt_arbitrary_pthread,1000,1337006139375617,2,0.027889,0.001651,0.026351,0.030179,PASS
ntt_crt_arbitrary_pthread,1000,1337006139375617,4,0.020651,0.000916,0.019451,0.021674,PASS
ntt_crt_arbitrary_pthread,1000,1337006139375617,8,0.037947,0.015821,0.022212,0.059589,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,1,0.045778,0.007126,0.036848,0.054288,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,2,0.036142,0.002585,0.033680,0.039713,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,4,0.017366,0.001789,0.016054,0.019896,PASS
ntt_crt_arbitrary_openmp,1000,1337006139375617,8,0.031395,0.003930,0.025966,0.035142,PASS
ntt_serial,1000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_TIMING_NO_VALID_RUNS
ntt_pthread,1000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread,1000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_pthread_optimized,1000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,100000000000000000,1,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,100000000000000000,2,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,100000000000000000,4,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_openmp,1000,100000000000000000,8,N/A,N/A,N/A,N/A,FAIL_EXECUTION
ntt_crt_arbitrary_serial,1000,100000000000000000,1,0.022044,0.000354,0.021559,0.022394,PASS
ntt_crt_arbitrary_pthread,1000,100000000000000000,1,0.029252,0.007467,0.023963,0.039812,PASS
ntt_crt_arbitrary_pthread,1000,100000000000000000,2,0.026025,0.006640,0.018750,0.034805,PASS
ntt_crt_arbitrary_pthread,1000,100000000000000000,4,0.031888,0.002566,0.028643,0.034918,PASS
ntt_crt_arbitrary_pthread,1000,100000000000000000,8,0.026063,0.004414,0.019888,0.029943,PASS
ntt_crt_arbitrary_openmp,1000,100000000000000000,1,0.052476,0.001936,0.049828,0.054401,PASS
ntt_crt_arbitrary_openmp,1000,100000000000000000,2,0.018466,0.001755,0.017127,0.020945,PASS
ntt_crt_arbitrary_openmp,1000,100000000000000000,4,0.028164,0.000854,0.026979,0.028955,PASS
ntt_crt_arbitrary_openmp,1000,100000000000000000,8,0.033153,0.004968,0.026129,0.036837,PASS
